,年龄,性别,家庭所在地,家庭经济情况,学习成绩,对待体育活动的态度,认知,人际,情感,公正,节制,超越,积极心理品质得分,剧烈运动一周分钟数,适度运动一周分钟数,步行一周分钟数,剧烈运动MET,适度运动MET,步行MET,总MET,身体活动水平
年龄,1.0,0.013929030895286448,0.030057896274886264,0.02570349928292312,0.01391943561008217,0.1028766664435804,0.023116510135258443,0.04865229312138932,0.02263264218369876,-0.012186301603188938,0.016760198855644975,-0.0041991973033151265,0.017960793281991533,-0.055269462319375184,-0.04192168212617058,-0.07459088966573052,-0.055269462319375184,-0.04192168212617058,-0.0745908896657305,-0.0782345049187847,-0.11961148457648249
性别,0.013929030895286448,1.0,0.050052643694892415,-0.04488960966916016,-0.10312656732054012,0.19902156727293227,0.0017253011287199484,-0.022852699393993106,-0.0650034690332211,-0.032018777325750404,-0.01713940418456117,0.04626327040983381,-0.01565243351046359,-0.16420714657226423,-0.026262102788507123,0.0012295611952926797,-0.16420714657226423,-0.026262102788507123,0.0012295611952923534,-0.10798811986734887,-0.08387047616749384
家庭所在地,0.030057896274886264,0.050052643694892415,1.0,-0.3760289521157321,-0.16386142613386487,-0.002265617653158204,-0.11554009084489067,-0.11649727208437949,-0.0961127560129525,-0.13240164102525503,-0.044897275416185316,-0.09939367200334105,-0.11235135192636075,0.03940677487924497,0.03598411171304242,-0.01481186961736556,0.03940677487924497,0.03598411171304242,-0.01481186961736547,0.029473775726983804,0.06605894226446916
家庭经济情况,0.02570349928292312,-0.04488960966916016,-0.3760289521157321,1.0,0.27466707744045193,-0.0011107225844045891,0.12935966904310783,0.10775274898866727,0.12797769652845614,0.15817921000508464,0.05781801621852918,0.11343220522235745,0.12926043816840627,-0.044777001676367105,-0.07702974947136228,-0.07691824824642278,-0.044777001676367105,-0.07702974947136228,-0.07691824824642293,-0.0841619992401793,-0.09952534425569005
学习成绩,0.01391943561008217,-0.10312656732054012,-0.16386142613386487,0.27466707744045193,1.0,0.08916934162198176,0.3565443234650741,0.32846762349533243,0.2673509731936975,0.2369613198922193,0.19919643781424048,0.2691406709408243,0.31269286078957326,-0.04456771296387537,-0.038630556523335344,-0.042562777615744354,-0.04456771296387537,-0.038630556523335344,-0.042562777615744354,-0.057333095177844635,-0.09541170434187259
对待体育活动的态度,0.1028766664435804,0.19902156727293227,-0.002265617653158204,-0.0011107225844045891,0.08916934162198176,1.0,0.25026201271385806,0.2508901531062836,0.21130125086113052,0.18280515605813016,0.16482935932599663,0.19380612652271423,0.2359682718286228,-0.3741677284993326,-0.23528650311246166,-0.07606462480209143,-0.3741677284993326,-0.23528650311246166,-0.07606462480209164,-0.33558254610983984,-0.30353632997013
认知,0.023116510135258443,0.0017253011287199484,-0.11554009084489067,0.12935966904310783,0.3565443234650741,0.25026201271385806,1.0,0.7790013380814066,0.7338811659455262,0.718013396212446,0.7285258708030623,0.7951865432490641,0.896901477624792,-0.15245506566985273,-0.12246578616613384,-0.060230022495888276,-0.15245506566985273,-0.12246578616613384,-0.0602300224958884,-0.15749130711616943,-0.1418824186123093
人际,0.04865229312138932,-0.022852699393993106,-0.11649727208437949,0.10775274898866727,0.32846762349533243,0.2508901531062836,0.7790013380814066,1.0,0.739597217741299,0.8110425696988807,0.7467603727033382,0.7585249866766883,0.8987388938496513,-0.15364834919556294,-0.10052107620282459,-0.043291010561030574,-0.15364834919556294,-0.10052107620282459,-0.0432910105610306,-0.14407916897314788,-0.12067553741371038
情感,0.02263264218369876,-0.0650034690332211,-0.0961127560129525,0.12797769652845614,0.2673509731936975,0.21130125086113052,0.7338811659455262,0.739597217741299,1.0,0.7746779491836768,0.7073669496201292,0.8015309359011253,0.8911757494315298,-0.07166395482923728,-0.0687474372112988,-0.06974591626654356,-0.07166395482923728,-0.0687474372112988,-0.06974591626654347,-0.09487698325461134,-0.14495771938978755
公正,-0.012186301603188938,-0.032018777325750404,-0.13240164102525503,0.15817921000508464,0.2369613198922193,0.18280515605813016,0.718013396212446,0.8110425696988807,0.7746779491836768,1.0,0.7790100439867443,0.7376284652134919,0.8925901667639741,-0.07344499684681483,-0.06943602081292716,-0.05163998883460219,-0.07344499684681483,-0.06943602081292716,-0.05163998883460218,-0.08865457216455154,-0.09249198238591633
节制,0.016760198855644975,-0.01713940418456117,-0.044897275416185316,0.05781801621852918,0.19919643781424048,0.16482935932599663,0.7285258708030623,0.7467603727033382,0.7073669496201292,0.7790100439867443,1.0,0.710317152741852,0.8703713862406359,-0.050030793346213645,-0.052726663954796076,-0.03392052743309362,-0.050030793346213645,-0.052726663954796076,-0.03392052743309356,-0.061623360945399205,-0.08936302162094195
超越,-0.0041991973033151265,0.04626327040983381,-0.09939367200334105,0.11343220522235745,0.2691406709408243,0.19380612652271423,0.7951865432490641,0.7585249866766883,0.8015309359011253,0.7376284652134919,0.710317152741852,1.0,0.9003585539564087,-0.12847514056480203,-0.14337471444262503,-0.06995164136191728,-0.12847514056480203,-0.14337471444262503,-0.06995164136191727,-0.1536890248129217,-0.17610176409926712
积极心理品质得分,0.017960793281991533,-0.01565243351046359,-0.11235135192636075,0.12926043816840627,0.31269286078957326,0.2359682718286228,0.896901477624792,0.8987388938496513,0.8911757494315298,0.8925901667639741,0.8703713862406359,0.9003585539564087,1.0,-0.11894705955794396,-0.1054011620568793,-0.06234073123493301,-0.11894705955794396,-0.1054011620568793,-0.06234073123493315,-0.1324444969386718,-0.1448830030463743
剧烈运动一周分钟数,-0.055269462319375184,-0.16420714657226423,0.03940677487924497,-0.044777001676367105,-0.04456771296387537,-0.3741677284993326,-0.15245506566985273,-0.15364834919556294,-0.07166395482923728,-0.07344499684681483,-0.050030793346213645,-0.12847514056480203,-0.11894705955794396,1.0,0.4699633320693051,0.17936873955578242,1.0,0.4699633320693051,0.17936873955578256,0.8355707557583105,0.555093941051735
适度运动一周分钟数,-0.04192168212617058,-0.026262102788507123,0.03598411171304242,-0.07702974947136228,-0.038630556523335344,-0.23528650311246166,-0.12246578616613384,-0.10052107620282459,-0.0687474372112988,-0.06943602081292716,-0.052726663954796076,-0.14337471444262503,-0.1054011620568793,0.4699633320693051,1.0,0.2814219530331021,0.46996333206930513,1.0,0.28142195303310225,0.7265503943262682,0.5486831934281443
步行一周分钟数,-0.07459088966573052,0.0012295611952926797,-0.01481186961736556,-0.07691824824642278,-0.042562777615744354,-0.07606462480209143,-0.060230022495888276,-0.043291010561030574,-0.06974591626654356,-0.05163998883460219,-0.03392052743309362,-0.06995164136191728,-0.06234073123493301,0.17936873955578242,0.2814219530331021,1.0,0.17936873955578242,0.2814219530331021,1.0000000000000002,0.6160955858635443,0.5345187478793028
剧烈运动MET,-0.055269462319375184,-0.16420714657226423,0.03940677487924497,-0.044777001676367105,-0.04456771296387537,-0.3741677284993326,-0.15245506566985273,-0.15364834919556294,-0.07166395482923728,-0.07344499684681483,-0.050030793346213645,-0.12847514056480203,-0.11894705955794396,1.0,0.46996333206930513,0.17936873955578242,1.0,0.4699633320693051,0.17936873955578256,0.8355707557583105,0.555093941051735
适度运动MET,-0.04192168212617058,-0.026262102788507123,0.03598411171304242,-0.07702974947136228,-0.038630556523335344,-0.23528650311246166,-0.12246578616613384,-0.10052107620282459,-0.0687474372112988,-0.06943602081292716,-0.052726663954796076,-0.14337471444262503,-0.1054011620568793,0.4699633320693051,1.0,0.2814219530331021,0.4699633320693051,1.0,0.28142195303310225,0.7265503943262682,0.5486831934281443
步行MET,-0.0745908896657305,0.0012295611952923534,-0.01481186961736547,-0.07691824824642293,-0.042562777615744354,-0.07606462480209164,-0.0602300224958884,-0.0432910105610306,-0.06974591626654347,-0.05163998883460218,-0.03392052743309356,-0.06995164136191727,-0.06234073123493315,0.17936873955578256,0.28142195303310225,1.0000000000000002,0.17936873955578256,0.28142195303310225,1.0,0.6160955858635451,0.534518747879303
总MET,-0.0782345049187847,-0.10798811986734887,0.029473775726983804,-0.0841619992401793,-0.057333095177844635,-0.33558254610983984,-0.15749130711616943,-0.14407916897314788,-0.09487698325461134,-0.08865457216455154,-0.061623360945399205,-0.1536890248129217,-0.1324444969386718,0.8355707557583105,0.7265503943262682,0.6160955858635443,0.8355707557583105,0.7265503943262682,0.6160955858635451,1.0,0.7377498057947292
身体活动水平,-0.11961148457648249,-0.08387047616749384,0.06605894226446916,-0.09952534425569005,-0.09541170434187259,-0.30353632997013,-0.1418824186123093,-0.12067553741371038,-0.14495771938978755,-0.09249198238591633,-0.08936302162094195,-0.17610176409926712,-0.1448830030463743,0.555093941051735,0.5486831934281443,0.5345187478793028,0.555093941051735,0.5486831934281443,0.534518747879303,0.7377498057947292,1.0
