,年龄,性别,家庭所在地,家庭经济情况,学习成绩,对待体育活动的态度,剧烈运动天数,剧烈运动单日分钟数,适度运动天数,适度运动单日分钟数,步行天数,步行单日分钟数,工作日久坐分钟数,认知,人际,情感,公正,节制,超越,积极心理品质得分,剧烈运动一周分钟数,适度运动一周分钟数,步行一周分钟数,剧烈运动MET,适度运动MET,步行MET,总MET,身体活动水平
年龄,1.0,0.013929030895286415,0.030057896274886056,-0.025703499282923026,-0.01391943561008217,-0.1028766664435802,-0.10062861991841658,-0.05045058147163901,-0.04217364224265641,-0.014838360040746018,-0.10923701846901065,-0.07537905619027008,0.04224925650664819,-0.023116510135258443,-0.048652293121389315,-0.022632642183698766,0.012186301603188872,-0.01676019885564497,0.0041991973033151265,-0.01796079328199153,-0.055269462319375184,-0.04192168212617058,-0.07459088966573052,-0.055269462319375184,-0.04192168212617058,-0.0745908896657305,-0.0782345049187847,-0.11961148457648249
性别,0.013929030895286415,1.0,0.050052643694892346,0.044889609669160675,0.10312656732054007,-0.19902156727293221,-0.1836204754005803,-0.16474493833418452,-0.00893984739615215,-0.05714588536521444,0.05142895484921412,0.0039517835722336905,0.08180457033546379,-0.0017253011287199744,0.022852699393993144,0.06500346903322109,0.03201877732575031,0.017139404184561155,-0.04626327040983384,0.01565243351046357,-0.16420714657226432,-0.026262102788507113,0.0012295611952926305,-0.16420714657226432,-0.026262102788507113,0.001229561195292332,-0.10798811986734884,-0.0838704761674939
家庭所在地,0.030057896274886056,0.050052643694892346,1.0,0.37602895211573195,0.1638614261338649,0.0022656176531582004,0.03302156200255891,-0.0032152247627799985,0.05578791245003504,0.020602956193059744,0.022044694576669095,-0.03926031546604372,-0.048932444372943126,0.1155400908448905,0.11649727208437947,0.09611275601295237,0.13240164102525487,0.04489727541618512,0.09939367200334094,0.11235135192636057,0.039406774879244905,0.035984111713042465,-0.01481186961736543,0.039406774879244905,0.035984111713042465,-0.01481186961736532,0.02947377572698386,0.06605894226446922
家庭经济情况,-0.025703499282923026,0.044889609669160675,0.37602895211573195,1.0,0.27466707744045205,-0.0011107225844048257,0.04151471735216246,0.05215883465408354,0.10671206003063502,0.04638084149845135,0.08371170982099461,0.06508632117380561,-0.09455814220501811,0.12935966904310758,0.10775274898866723,0.12797769652845606,0.15817921000508495,0.05781801621852918,0.11343220522235742,0.1292604381684062,0.044777001676366834,0.07702974947136207,0.07691824824642303,0.044777001676366834,0.07702974947136207,0.0769182482464231,0.08416199924017911,0.09952534425569
学习成绩,-0.01391943561008217,0.10312656732054007,0.1638614261338649,0.27466707744045205,1.0,0.08916934162198167,0.06865443275932963,0.06286624584815032,0.06605545237192222,0.053017080669174134,0.10000895617714568,0.029959442148395275,0.017336210509857196,0.3565443234650741,0.32846762349533243,0.2673509731936975,0.23696131989221936,0.19919643781424048,0.2691406709408242,0.31269286078957315,0.04456771296387537,0.038630556523335344,0.042562777615744354,0.04456771296387537,0.038630556523335344,0.042562777615744354,0.057333095177844635,0.09541170434187259
对待体育活动的态度,-0.1028766664435802,-0.19902156727293221,0.0022656176531582004,-0.0011107225844048257,0.08916934162198167,1.0,0.37011122068156976,0.41325646242788,0.16911864408906416,0.23709973023165923,0.0858575879449973,0.07507643468025021,-0.12417547104845238,0.2502620127138582,0.2508901531062835,0.2113012508611304,0.18280515605813016,0.16482935932599652,0.1938061265227142,0.23596827182862268,0.37416772849933244,0.23528650311246135,0.07606462480209118,0.37416772849933244,0.23528650311246135,0.07606462480209135,0.3355825461098398,0.30353632997012975
剧烈运动天数,-0.10062861991841658,-0.1836204754005803,0.03302156200255891,0.04151471735216246,0.06865443275932963,0.37011122068156976,1.0,0.5385901878141856,0.48304347827286837,0.36549649254142025,0.3479951113584144,0.21960345390251557,-0.07849983679714317,0.17865422828128988,0.17123082881707627,0.13521103365021492,0.10201054912569284,0.13570465692542769,0.15484485076374857,0.16571012071495536,0.7210890931135273,0.40943249207826593,0.23332989048576952,0.7210890931135273,0.40943249207826593,0.23332989048576946,0.6685740496551295,0.7169915789478151
剧烈运动单日分钟数,-0.05045058147163901,-0.16474493833418452,-0.0032152247627799985,0.05215883465408354,0.06286624584815032,0.41325646242788,0.5385901878141856,1.0,0.24660293914611411,0.48242482004704096,0.2605758443113855,0.20551384872723802,0.13268814270647447,0.11205958145397799,0.13282608193643364,0.05878009497105185,0.03331107944420617,0.019353627597598604,0.11967483899720992,0.09027718929210823,0.8124376264074493,0.40192909132748045,0.18780153822588352,0.8124376264074493,0.40192909132748045,0.18780153822588364,0.7028495372409858,0.5240826461340612
适度运动天数,-0.04217364224265641,-0.00893984739615215,0.05578791245003504,0.10671206003063502,0.06605545237192222,0.16911864408906416,0.48304347827286837,0.24660293914611411,1.0,0.47735969109217224,0.47839742770312815,0.20801750239428365,-0.04802896779563412,0.10754469612256792,0.08675799884291617,0.08439594685013213,0.055695379533822705,0.0716196090401876,0.1132882223651447,0.0982637629217395,0.28047236966582334,0.6552419495405915,0.23977373253749373,0.28047236966582334,0.6552419495405915,0.239773732537494,0.48236612793488737,0.5848774885678203
适度运动单日分钟数,-0.014838360040746018,-0.05714588536521444,0.020602956193059744,0.04638084149845135,0.053017080669174134,0.23709973023165923,0.36549649254142025,0.48242482004704096,0.47735969109217224,1.0,0.32544479193186504,0.30191893993141544,-0.09828299768807683,0.14645084999229863,0.11887381574694805,0.08924549021620773,0.10201797699487149,0.06679731405784443,0.16784143433449955,0.1304832989246294,0.46068378390114045,0.8695734258379948,0.2988547596561132,0.46068378390114045,0.8695734258379948,0.2988547596561135,0.6859833816123181,0.5501685421292645
步行天数,-0.10923701846901065,0.05142895484921412,0.022044694576669095,0.08371170982099461,0.10000895617714568,0.0858575879449973,0.3479951113584144,0.2605758443113855,0.47839742770312815,0.32544479193186504,1.0,0.5467563197943819,0.019930646216894606,0.02535431314968226,0.04491777046156971,0.1063092578554314,0.024194298948514825,0.01553597979209908,0.09796536656656796,0.059575354686362714,0.23526837684815563,0.341023813817132,0.5880031482007712,0.23526837684815563,0.341023813817132,0.588003148200771,0.49807132184529185,0.6753988925655168
步行单日分钟数,-0.07537905619027008,0.0039517835722336905,-0.03926031546604372,0.06508632117380561,0.029959442148395275,0.07507643468025021,0.21960345390251557,0.20551384872723802,0.20801750239428365,0.30191893993141544,0.5467563197943819,1.0,-0.064957172103086,0.043448700565815665,0.02372316374452833,0.05787241588521972,0.046030126423461694,0.029914815068377898,0.055388038383074656,0.0485710419655233,0.17702604218091728,0.2660683680057268,0.9776653847479908,0.17702604218091728,0.2660683680057268,0.9776653847479916,0.6004168238826347,0.5252282686060291
工作日久坐分钟数,0.04224925650664819,0.08180457033546379,-0.048932444372943126,-0.09455814220501811,0.017336210509857196,-0.12417547104845238,-0.07849983679714317,0.13268814270647447,-0.04802896779563412,-0.09828299768807683,0.019930646216894606,-0.064957172103086,1.0,-0.09414699988944288,-0.11132899836059434,-0.01895035622080758,-0.10649356912496322,-0.09106267458412722,-0.044487337955905114,-0.0874325611022146,0.04326838933616157,-0.0572138974497812,-0.05278274772677919,0.04326838933616157,-0.0572138974497812,-0.052782747726779086,-0.013606929131901648,-0.027175656553600352
认知,-0.023116510135258443,-0.0017253011287199744,0.1155400908448905,0.12935966904310758,0.3565443234650741,0.2502620127138582,0.17865422828128988,0.11205958145397799,0.10754469612256792,0.14645084999229863,0.02535431314968226,0.043448700565815665,-0.09414699988944288,1.0,0.7790013380814066,0.7338811659455262,0.718013396212446,0.7285258708030623,0.7951865432490641,0.8969014776247918,0.15245506566985273,0.12246578616613384,0.060230022495888276,0.15245506566985273,0.12246578616613384,0.06023002249588839,0.15749130711616943,0.1418824186123093
人际,-0.048652293121389315,0.022852699393993144,0.11649727208437947,0.10775274898866723,0.32846762349533243,0.2508901531062835,0.17123082881707627,0.13282608193643364,0.08675799884291617,0.11887381574694805,0.04491777046156971,0.02372316374452833,-0.11132899836059434,0.7790013380814066,1.0,0.739597217741299,0.8110425696988806,0.7467603727033382,0.7585249866766883,0.8987388938496511,0.15364834919556308,0.10052107620282459,0.043291010561030616,0.15364834919556308,0.10052107620282459,0.043291010561030664,0.144079168973148,0.12067553741371032
情感,-0.022632642183698766,0.06500346903322109,0.09611275601295237,0.12797769652845606,0.2673509731936975,0.2113012508611304,0.13521103365021492,0.05878009497105185,0.08439594685013213,0.08924549021620773,0.1063092578554314,0.05787241588521972,-0.01895035622080758,0.7338811659455262,0.739597217741299,1.0,0.7746779491836769,0.7073669496201294,0.8015309359011253,0.8911757494315298,0.0716639548292373,0.06874743721129879,0.06974591626654356,0.0716639548292373,0.06874743721129879,0.06974591626654346,0.09487698325461132,0.14495771938978755
公正,0.012186301603188872,0.03201877732575031,0.13240164102525487,0.15817921000508495,0.23696131989221936,0.18280515605813016,0.10201054912569284,0.03331107944420617,0.055695379533822705,0.10201797699487149,0.024194298948514825,0.046030126423461694,-0.10649356912496322,0.718013396212446,0.8110425696988806,0.7746779491836769,1.0,0.7790100439867442,0.7376284652134918,0.8925901667639741,0.07344499684681492,0.0694360208129272,0.05163998883460215,0.07344499684681492,0.0694360208129272,0.051639988834602156,0.08865457216455158,0.09249198238591637
节制,-0.01676019885564497,0.017139404184561155,0.04489727541618512,0.05781801621852918,0.19919643781424048,0.16482935932599652,0.13570465692542769,0.019353627597598604,0.0716196090401876,0.06679731405784443,0.01553597979209908,0.029914815068377898,-0.09106267458412722,0.7285258708030623,0.7467603727033382,0.7073669496201294,0.7790100439867442,1.0,0.710317152741852,0.8703713862406358,0.05003079334621363,0.052726663954796096,0.03392052743309362,0.05003079334621363,0.052726663954796096,0.03392052743309357,0.061623360945399205,0.08936302162094197
超越,0.0041991973033151265,-0.04626327040983384,0.09939367200334094,0.11343220522235742,0.2691406709408242,0.1938061265227142,0.15484485076374857,0.11967483899720992,0.1132882223651447,0.16784143433449955,0.09796536656656796,0.055388038383074656,-0.044487337955905114,0.7951865432490641,0.7585249866766883,0.8015309359011253,0.7376284652134918,0.710317152741852,1.0,0.9003585539564085,0.12847514056480203,0.14337471444262503,0.06995164136191726,0.12847514056480203,0.14337471444262503,0.0699516413619173,0.15368902481292165,0.17610176409926712
积极心理品质得分,-0.01796079328199153,0.01565243351046357,0.11235135192636057,0.1292604381684062,0.31269286078957315,0.23596827182862268,0.16571012071495536,0.09027718929210823,0.0982637629217395,0.1304832989246294,0.059575354686362714,0.0485710419655233,-0.0874325611022146,0.8969014776247918,0.8987388938496511,0.8911757494315298,0.8925901667639741,0.8703713862406358,0.9003585539564085,1.0,0.11894705955794396,0.10540116205687927,0.06234073123493299,0.11894705955794396,0.10540116205687927,0.062340731234933125,0.1324444969386718,0.14488300304637425
剧烈运动一周分钟数,-0.055269462319375184,-0.16420714657226432,0.039406774879244905,0.044777001676366834,0.04456771296387537,0.37416772849933244,0.7210890931135273,0.8124376264074493,0.28047236966582334,0.46068378390114045,0.23526837684815563,0.17702604218091728,0.04326838933616157,0.15245506566985273,0.15364834919556308,0.0716639548292373,0.07344499684681492,0.05003079334621363,0.12847514056480203,0.11894705955794396,1.0,0.4699633320693051,0.17936873955578242,1.0,0.4699633320693051,0.17936873955578256,0.8355707557583105,0.555093941051735
适度运动一周分钟数,-0.04192168212617058,-0.026262102788507113,0.035984111713042465,0.07702974947136207,0.038630556523335344,0.23528650311246135,0.40943249207826593,0.40192909132748045,0.6552419495405915,0.8695734258379948,0.341023813817132,0.2660683680057268,-0.0572138974497812,0.12246578616613384,0.10052107620282459,0.06874743721129879,0.0694360208129272,0.052726663954796096,0.14337471444262503,0.10540116205687927,0.4699633320693051,1.0,0.2814219530331021,0.46996333206930513,1.0,0.28142195303310225,0.7265503943262682,0.5486831934281443
步行一周分钟数,-0.07459088966573052,0.0012295611952926305,-0.01481186961736543,0.07691824824642303,0.042562777615744354,0.07606462480209118,0.23332989048576952,0.18780153822588352,0.23977373253749373,0.2988547596561132,0.5880031482007712,0.9776653847479908,-0.05278274772677919,0.060230022495888276,0.043291010561030616,0.06974591626654356,0.05163998883460215,0.03392052743309362,0.06995164136191726,0.06234073123493299,0.17936873955578242,0.2814219530331021,1.0,0.17936873955578242,0.2814219530331021,1.0000000000000002,0.6160955858635443,0.5345187478793028
剧烈运动MET,-0.055269462319375184,-0.16420714657226432,0.039406774879244905,0.044777001676366834,0.04456771296387537,0.37416772849933244,0.7210890931135273,0.8124376264074493,0.28047236966582334,0.46068378390114045,0.23526837684815563,0.17702604218091728,0.04326838933616157,0.15245506566985273,0.15364834919556308,0.0716639548292373,0.07344499684681492,0.05003079334621363,0.12847514056480203,0.11894705955794396,1.0,0.46996333206930513,0.17936873955578242,1.0,0.4699633320693051,0.17936873955578256,0.8355707557583105,0.555093941051735
适度运动MET,-0.04192168212617058,-0.026262102788507113,0.035984111713042465,0.07702974947136207,0.038630556523335344,0.23528650311246135,0.40943249207826593,0.40192909132748045,0.6552419495405915,0.8695734258379948,0.341023813817132,0.2660683680057268,-0.0572138974497812,0.12246578616613384,0.10052107620282459,0.06874743721129879,0.0694360208129272,0.052726663954796096,0.14337471444262503,0.10540116205687927,0.4699633320693051,1.0,0.2814219530331021,0.4699633320693051,1.0,0.28142195303310225,0.7265503943262682,0.5486831934281443
步行MET,-0.0745908896657305,0.001229561195292332,-0.01481186961736532,0.0769182482464231,0.042562777615744354,0.07606462480209135,0.23332989048576946,0.18780153822588364,0.239773732537494,0.2988547596561135,0.588003148200771,0.9776653847479916,-0.052782747726779086,0.06023002249588839,0.043291010561030664,0.06974591626654346,0.051639988834602156,0.03392052743309357,0.0699516413619173,0.062340731234933125,0.17936873955578256,0.28142195303310225,1.0000000000000002,0.17936873955578256,0.28142195303310225,1.0,0.6160955858635451,0.534518747879303
总MET,-0.0782345049187847,-0.10798811986734884,0.02947377572698386,0.08416199924017911,0.057333095177844635,0.3355825461098398,0.6685740496551295,0.7028495372409858,0.48236612793488737,0.6859833816123181,0.49807132184529185,0.6004168238826347,-0.013606929131901648,0.15749130711616943,0.144079168973148,0.09487698325461132,0.08865457216455158,0.061623360945399205,0.15368902481292165,0.1324444969386718,0.8355707557583105,0.7265503943262682,0.6160955858635443,0.8355707557583105,0.7265503943262682,0.6160955858635451,1.0,0.7377498057947292
身体活动水平,-0.11961148457648249,-0.0838704761674939,0.06605894226446922,0.09952534425569,0.09541170434187259,0.30353632997012975,0.7169915789478151,0.5240826461340612,0.5848774885678203,0.5501685421292645,0.6753988925655168,0.5252282686060291,-0.027175656553600352,0.1418824186123093,0.12067553741371032,0.14495771938978755,0.09249198238591637,0.08936302162094197,0.17610176409926712,0.14488300304637425,0.555093941051735,0.5486831934281443,0.5345187478793028,0.555093941051735,0.5486831934281443,0.534518747879303,0.7377498057947292,1.0
